company,domain,category,contact_name,role,priority,status,linkedin_search
Gatekeeper,gatekeeperhq.com,saas-procurement,"Philip Picariello","CFO",4,"","Philip Picariello Gatekeeper"
Cledara,cledara.com,saas-procurement,"Cristina Vila Vives","CEO & Co-Founder",1,"SENT_P1","Cristina Vila Vives Cledara"
Cledara,cledara.com,saas-procurement,"Brad van Leeuwen","COO & Co-Founder",2,"","Brad van Leeuwen Cledara"
Cledara,cledara.com,saas-procurement,"Donal Quinn","Head of Product",3,"","Donal Quinn Cledara"
Browserbase,browserbase.com,agent-infra,"Paul Klein IV","Founder & CEO",1,"SENT_P1","Paul Klein IV Browserbase"
Browserbase,browserbase.com,agent-infra,"Dominic Saadi","Founding Engineer",2,"","Dominic Saadi Browserbase"
Browserbase,browserbase.com,agent-infra,"Walker Griggs","Technical Lead Core Team",3,"","Walker Griggs Browserbase"
Anchor Browser,anchorbrowser.io,agent-infra,"Idan Raman","Co-Founder & CEO",1,"SENT_P1","Idan Raman Anchor Browser"
Anchor Browser,anchorbrowser.io,agent-infra,"Dor Dankner","Co-Founder & CTO",2,"","Dor Dankner Anchor Browser"
Anchor Browser,anchorbrowser.io,agent-infra,"Guy Ben Simhon","Co-Founder & VP R&D",3,"","Guy Ben Simhon Anchor Browser"
Steel.dev,steel.dev,agent-infra,"Hussien Hussien","Co-Founder & CEO",1,"SENT_P1","Hussien Hussien Steel.dev"
Steel.dev,steel.dev,agent-infra,"Nasr Mohamed","Co-Founder & CTO",2,"","Nasr Mohamed Steel.dev"
Steel.dev,steel.dev,agent-infra,"Dane Wilson","Founding Engineer",3,"","Dane Wilson Steel.dev"
Skyvern,skyvern.com,agent-infra,"Suchintan Singh","Co-Founder",1,"SENT_P1","Suchintan Singh Skyvern"
Skyvern,skyvern.com,agent-infra,"Shuchang Zheng","Co-Founder & CTO",2,"","Shuchang Zheng Skyvern"
Skyvern,skyvern.com,agent-infra,"Kerem Yilmaz","Co-Founder",3,"","Kerem Yilmaz Skyvern"
Airtop,airtop.ai,agent-infra,"Amir Ashkenazi","Founder & CEO",1,"SENT_P1","Amir Ashkenazi Airtop"
Airtop,airtop.ai,agent-infra,"Daniel Shteremberg","Co-Founder & CTO",2,"","Daniel Shteremberg Airtop"
Airtop,airtop.ai,agent-infra,"Aidyl Kareh","Engineering Manager",3,"","Aidyl Kareh Airtop"
Browserless,browserless.io,agent-infra,"Joel Griffith","Founder & CEO",1,"SENT_P1","Joel Griffith Browserless"
Hyperbrowser,hyperbrowser.ai,agent-infra,"Shri Sukhani","CEO & Co-Founder",1,"","Shri Sukhani Hyperbrowser"
Hyperbrowser,hyperbrowser.ai,agent-infra,"Akshay Shekhawat","Co-Founder & CTO",2,"","Akshay Shekhawat Hyperbrowser"
ZenRows,zenrows.com,agent-infra,"Aurken Bilbao","CEO & Founder",1,"SENT_P1","Aurken Bilbao ZenRows"
ZenRows,zenrows.com,agent-infra,"Ander Rodriguez Varela","Co-Founder & CTO",2,"","Ander Rodriguez Varela ZenRows"
ZenRows,zenrows.com,agent-infra,"Alina Sharapova","Director of Engineering",3,"","Alina Sharapova ZenRows"
ZenRows,zenrows.com,agent-infra,"Tazz Parker","VP of Marketing",4,"","Tazz Parker ZenRows"
Firecrawl,firecrawl.dev,agent-infra,"Caleb Peffer","CEO & Co-Founder",1,"SENT_P1","Caleb Peffer Firecrawl"
Firecrawl,firecrawl.dev,agent-infra,"Eric Ciarla","Co-Founder & CMO",2,"","Eric Ciarla Firecrawl"
Firecrawl,firecrawl.dev,agent-infra,"Nicolas Silberstein Camara","Co-Founder & CTO",3,"","Nicolas Silberstein Camara Firecrawl"
Apify,apify.com,agent-infra,"Jan Čurn","CEO & Co-Founder",1,"SENT_P1","Jan Čurn Apify"
Apify,apify.com,agent-infra,"Jan Zenisek","VP of Product",2,"","Jan Zenisek Apify"
Apify,apify.com,agent-infra,"Jakub Balada","Co-Founder",3,"","Jakub Balada Apify"
Kernel,kernel.sh,agent-infra,"Catherine Jue","CEO & Co-Founder",1,"SENT_P1","Catherine Jue Kernel"
Kernel,kernel.sh,agent-infra,"Rafael Garcia","Co-Founder & CTO",2,"","Rafael Garcia Kernel"
Bright Data,brightdata.com,agent-infra,"Erez Naveh","VP of Product",1,"SENT_P1","Erez Naveh Bright Data"
Bright Data,brightdata.com,agent-infra,"Omri Orgad","Managing Director North America",2,"","Omri Orgad Bright Data"
Bright Data,brightdata.com,agent-infra,"Or Lenchner","CEO",3,"","Or Lenchner Bright Data"
Skyfire,skyfire.xyz,agent-payments,"Amir Sarhangi","CEO & Co-Founder",1,"SENT_P1","Amir Sarhangi Skyfire"
Skyfire,skyfire.xyz,agent-payments,"Craig DeWitt","Chief Product Officer & Co-Founder",2,"","Craig DeWitt Skyfire"
Skyfire,skyfire.xyz,agent-payments,"Kevin Brown","Head of Public Relations",3,"","Kevin Brown Skyfire"
Basis Theory,basistheory.com,agent-payments,"Colin Luce","CEO & Co-Founder",1,"SENT_P1","Colin Luce Basis Theory"
Basis Theory,basistheory.com,agent-payments,"Kevin Perko","Vice President of Product",2,"","Kevin Perko Basis Theory"
Basis Theory,basistheory.com,agent-payments,"Chris Howard","Head of Partnerships",3,"","Chris Howard Basis Theory"
Basis Theory,basistheory.com,agent-payments,"Grant Crider","Head of Sales",4,"","Grant Crider Basis Theory"
Basis Theory,basistheory.com,agent-payments,"James Armstead","Chief Technology Officer",5,"","James Armstead Basis Theory"
Nekuda,nekuda.ai,agent-payments,"Ayal Karmi","CEO & Co-Founder",1,"SENT_P1","Ayal Karmi Nekuda"
Nekuda,nekuda.ai,agent-payments,"Barak Ben Rachel","CTO & Co-Founder",2,"","Barak Ben Rachel Nekuda"
Nekuda,nekuda.ai,agent-payments,"Idan Levin","CPO & Co-Founder",3,"","Idan Levin Nekuda"
PayOS,payos.ai,agent-payments,"Johnathan McGowan","CEO & Co-Founder",1,"SENT_P1","Johnathan McGowan PayOS"
PayOS,payos.ai,agent-payments,"Aparna Krishnan Girish","CPO & Co-Founder",2,"","Aparna Krishnan Girish PayOS"
Crossmint,crossmint.com,agent-payments,"Alfonso Gómez-Jordana Mañas","Founder & CEO",1,"SENT_P1","Alfonso Gómez-Jordana Mañas Crossmint"
Crossmint,crossmint.com,agent-payments,"Rodri Fernández Touza","Co-Founder",2,"","Rodri Fernández Touza Crossmint"
Crossmint,crossmint.com,agent-payments,"Ken Zhang","Head of Stablecoins and Fintech",3,"","Ken Zhang Crossmint"
Slash,slash.com,agent-payments,"Victor Cardenas Codriansky","CEO & Co-Founder",1,"SENT_P1","Victor Cardenas Codriansky Slash"
Slash,slash.com,agent-payments,"Kevin Bai","CTO & Co-Founder",2,"","Kevin Bai Slash"
Slash,slash.com,agent-payments,"Shaan Patel","Head of Growth",3,"","Shaan Patel Slash"
Slash,slash.com,agent-payments,"Eric Kinney","Head of Risk",4,"","Eric Kinney Slash"
HUMAN Security (AgenticTrust),humansecurity.com,agent-payments,"Christos Kalantzis","Chief Technology Officer",1,"SENT_P1","Christos Kalantzis HUMAN Security (AgenticTrust)"
HUMAN Security (AgenticTrust),humansecurity.com,agent-payments,"Stu Solomon","Chief Executive Officer",2,"","Stu Solomon HUMAN Security (AgenticTrust)"
HUMAN Security (AgenticTrust),humansecurity.com,agent-payments,"Tamer Hassan","Executive Chairman & Co-Founder",3,"","Tamer Hassan HUMAN Security (AgenticTrust)"
Rye,rye.com,agent-payments,"Arjun Bhargava","CEO & Co-Founder",1,"SENT_P1","Arjun Bhargava Rye"
Rye,rye.com,agent-payments,"Elisabeth Edokwe","Head of Marketing",2,"","Elisabeth Edokwe Rye"
Rye,rye.com,agent-payments,"Luis Gonzalez-Silen","VP of Engineering",3,"","Luis Gonzalez-Silen Rye"
Trulioo,trulioo.com,agent-payments,"Michael Ramsbacker","Chief Product Officer",1,"SENT_P1","Michael Ramsbacker Trulioo"
Trulioo,trulioo.com,agent-payments,"Rob Hartley","SVP of Product",2,"","Rob Hartley Trulioo"
Trulioo,trulioo.com,agent-payments,"Eric Morse","Chief Revenue Officer",3,"","Eric Morse Trulioo"
Trulioo,trulioo.com,agent-payments,"Vicky Bindra","CEO",4,"","Vicky Bindra Trulioo"
Trulioo,trulioo.com,agent-payments,"Zac Cohen","COO",5,"","Zac Cohen Trulioo"
Browser Use,browser-use.com,agent-infra,"Magnus Müller","Co-founder & CEO",1,"","Magnus Müller Browser Use"
Browser Use,browser-use.com,agent-infra,"Gregor Žunič","Co-founder & CTO",2,"","Gregor Žunič Browser Use"
commercetools,commercetools.com,brand-side,"Shiri Mosenzon Erez","Chief Product Officer",1,"SENT_P1","Shiri Mosenzon Erez commercetools"
commercetools,commercetools.com,brand-side,"Paul Applegate","VP Partners & Alliances",2,"","Paul Applegate commercetools"
commercetools,commercetools.com,brand-side,"John Lentine","Chief Revenue Officer",3,"","John Lentine commercetools"
commercetools,commercetools.com,brand-side,"Eric Speciel","Chief Customer Officer",4,"","Eric Speciel commercetools"
